Group,KCl,Time
Syt-7,25,25.66667
Syt-7,25,26.16667
Syt-7,25,26.5
Syt-7,25,26.66667
Syt-7,25,26.83333
Syt-7,25,27.5
Syt-7,25,27.83333
Syt-7,25,30
Syt-7,25,30.16667
Syt-7,25,30.5
Syt-7,25,31.33333
Syt-7,25,32.66667
Syt-7,25,32.66667
Syt-7,25,33.66667
Syt-7,25,35
Syt-7,25,36.16667
Syt-7,25,36.33333
Syt-7,25,38.66667
Syt-7,25,42
Syt-7,56,0.166667
Syt-7,56,0.333333
Syt-7,56,0.333333
Syt-7,56,0.333333
Syt-7,56,0.5
Syt-7,56,0.5
Syt-7,56,0.5
Syt-7,56,0.5
Syt-7,56,0.666667
Syt-7,56,0.666667
Syt-7,56,0.666667
Syt-7,56,0.666667
Syt-7,56,0.833333
Syt-7,56,0.833333
Syt-7,56,0.833333
Syt-7,56,0.833333
Syt-7,56,0.833333
Syt-7,56,0.833333
Syt-7,56,0.833333
Syt-7,56,1
Syt-7,56,1
Syt-7,56,1.166667
Syt-7,56,1.166667
Syt-7,56,1.333333
Syt-7,56,1.333333
Syt-7,56,1.333333
Syt-7,56,1.333333
Syt-7,56,1.5
Syt-7,56,1.5
Syt-7,56,1.5
Syt-7,56,2
Syt-7,56,2
Syt-7,56,2.333333
Syt-7,56,2.5
Syt-7,56,2.5
Syt-7,56,3.166667
Syt-7,56,3.166667
Syt-7,56,4.166667
Syt-7,56,4.333333
Syt-7,56,5
Syt-7,56,5
Syt-7,56,5
Syt-7,56,5
Syt-7,56,5
Syt-7,56,5.166667
Syt-7,56,5.166667
Syt-7,56,5.333333
Syt-7,56,5.333333
Syt-7,56,5.333333
Syt-7,56,5.333333
Syt-7,56,5.333333
Syt-7,56,5.333333
Syt-7,56,5.333333
Syt-7,56,5.333333
Syt-7,56,5.333333
Syt-7,56,5.333333
Syt-7,56,5.333333
Syt-7,56,5.333333
Syt-7,56,5.5
Syt-7,56,5.5
Syt-7,56,5.666667
Syt-7,56,5.666667
Syt-7,56,5.666667
Syt-7,56,5.666667
Syt-7,56,5.666667
Syt-7,56,5.666667
Syt-7,56,5.666667
Syt-7,56,5.666667
Syt-7,56,5.666667
Syt-7,56,5.666667
Syt-7,56,5.833333
Syt-7,56,5.833333
Syt-7,56,5.833333
Syt-7,56,5.833333
Syt-7,56,5.833333
Syt-7,56,5.833333
Syt-7,56,5.833333
Syt-7,56,6
Syt-7,56,6.166667
Syt-7,56,6.166667
Syt-7,56,6.166667
Syt-7,56,6.166667
Syt-7,56,6.166667
Syt-7,56,6.166667
Syt-7,56,6.333333
Syt-7,56,6.333333
Syt-7,56,6.5
Syt-7,56,6.5
Syt-7,56,6.5
Syt-7,56,6.5
Syt-7,56,6.5
Syt-7,56,6.5
Syt-7,56,6.5
Syt-7,56,6.5
Syt-7,56,6.5
Syt-7,56,6.5
Syt-7,56,6.666667
Syt-7,56,6.666667
Syt-7,56,6.833333
Syt-7,56,6.833333
Syt-7,56,6.833333
Syt-7,56,6.833333
Syt-7,56,6.833333
Syt-7,56,6.833333
Syt-7,56,6.833333
Syt-7,56,7
Syt-7,56,7
Syt-7,56,7
Syt-7,56,7
Syt-7,56,7
Syt-7,56,7.333333
Syt-7,56,7.333333
Syt-7,56,7.5
Syt-7,56,7.666667
Syt-7,56,7.666667
Syt-7,56,7.833333
Syt-7,56,8
Syt-7,56,8
Syt-7,56,8.166667
Syt-7,56,8.166667
Syt-7,56,8.166667
Syt-7,56,8.166667
Syt-7,56,8.333333
Syt-7,56,8.333333
Syt-7,56,8.333333
Syt-7,56,8.5
Syt-7,56,8.5
Syt-7,56,8.666667
Syt-7,56,8.666667
Syt-7,56,8.833333
Syt-7,56,8.833333
Syt-7,56,9
Syt-7,56,9
Syt-7,56,9
Syt-7,56,9.166667
Syt-7,56,9.166667
Syt-7,56,9.166667
Syt-7,56,9.5
Syt-7,56,9.5
